"ts","ts_end","ts_unix","ts_end_unix","ts_delta","srcip_str","srcip","dstip","srcport","ratio","bpf","ppf","dpf"
"2016-10-06 23:08:03","2016-10-06 23:09:02",1475795283000,1475795342000,59000,"50.233.89.198",854153670,-1062729170,6871,165,3637,22,2757
"2016-10-06 23:10:03","2016-10-06 23:11:02",1475795403000,1475795462000,59000,"50.233.89.198",854153670,-1062729170,47013,165,3637,22,2757
"2016-10-06 23:11:03","2016-10-06 23:12:02",1475795463000,1475795522000,59000,"50.233.89.198",854153670,-1062729170,19914,165,3637,22,2757
"2016-10-06 23:11:03","2016-10-06 23:12:02",1475795463000,1475795522000,59000,"50.233.89.198",854153670,-1062729170,5085,165,3637,22,2757
"2016-10-06 23:13:03","2016-10-06 23:14:03",1475795583000,1475795643000,60000,"50.233.89.198",854153670,-1062729170,20593,165,3637,22,2757
"2016-10-06 23:13:03","2016-10-06 23:14:03",1475795583000,1475795643000,60000,"50.233.89.198",854153670,-1062729170,38442,165,3637,22,2757
"2016-10-06 23:13:03","2016-10-06 23:14:03",1475795583000,1475795643000,60000,"50.233.89.198",854153670,-1062729170,40703,165,3637,22,2757
"2016-10-06 23:14:03","2016-10-06 23:15:03",1475795643000,1475795703000,60000,"50.233.89.198",854153670,-1062729170,10116,165,3637,22,2757
"2016-10-06 23:15:03","2016-10-06 23:16:03",1475795703000,1475795763000,60000,"50.233.89.198",854153670,-1062729170,3002,165,3637,22,2757
"2016-10-06 23:15:03","2016-10-06 23:16:03",1475795703000,1475795763000,60000,"50.233.89.198",854153670,-1062729170,59021,160,3701,23,2781
"2016-10-06 23:18:03","2016-10-06 23:19:03",1475795883000,1475795943000,60000,"50.233.89.198",854153670,-1062729170,34362,160,3701,23,2781
"2016-10-06 23:20:03","2016-10-06 23:21:03",1475796003000,1475796063000,60000,"50.233.89.198",854153670,-1062729170,25651,162,3573,22,2693
"2016-10-06 23:21:03","2016-10-06 23:22:03",1475796063000,1475796123000,60000,"50.233.89.198",854153670,-1062729170,2723,165,3637,22,2757
"2016-10-06 23:21:03","2016-10-06 23:22:03",1475796063000,1475796123000,60000,"50.233.89.198",854153670,-1062729170,8182,160,3701,23,2781
"2016-10-06 23:22:03","2016-10-06 23:23:03",1475796123000,1475796183000,60000,"50.233.89.198",854153670,-1062729170,34119,165,3637,22,2757
"2016-10-06 23:22:03","2016-10-06 23:23:03",1475796123000,1475796183000,60000,"50.233.89.198",854153670,-1062729170,31853,160,3701,23,2781
"2016-10-06 23:23:03","2016-10-06 23:24:03",1475796183000,1475796243000,60000,"50.233.89.198",854153670,-1062729170,29308,165,3637,22,2757
"2016-10-06 23:26:03","2016-10-06 23:27:03",1475796363000,1475796423000,60000,"50.233.89.198",854153670,-1062729170,7689,160,3701,23,2781
